target,prices,Train_VIX,Train_MOVE,Train_EURUSD,Train_HY,Train_BBB,Train_AA,Train_Liquidity,Train_Spread,Train_FEDFUNDS,Predict_VIX,Predict_MOVE,Predict_EURUSD,Predict_HY,Predict_BBB,Predict_AA,Predict_Liquidity,Predict_Spread,Predict_FEDFUNDS
0,119.8000030517578,0.5625939587709122,0.4658766784454913,0.1416878684930103,-0.1201279405071902,-0.4367236077612331,-0.3868054044578545,0.9400057638948184,-0.8198616967799529,1.199553063720681,,,,,,,,,
0,122.11000061035156,0.0665609255835152,-0.3082919824794118,0.5340348095428439,-0.1467139252181627,-0.2842584425199276,-0.0775849522893328,0.9919735778195162,-0.7481277978785349,1.1323796582332468,,,,,,,,,
0,123.76000213623048,-0.6124858958687199,0.476945497721657,-0.0068895720894387,-0.396720830152585,-0.2238085646628143,0.2308498283677673,0.9458049290479386,-0.6854829902220022,1.4614767454425004,,,,,,,,,
0,125.12999725341795,-0.8193646455918617,-0.2514709805464309,-0.7233278066118263,-0.1792870658792003,-0.0989480686119167,0.5426239769413516,0.8686126479831172,-1.0685876387528457,1.3680409024267457,,,,,,,,,
0,127.12999725341795,-0.8896785140129734,-1.214352352024856,-1.4301034908354326,0.1471233167601478,0.1605875024259156,0.5128937910877988,0.2771252954510668,-1.1101187797002368,1.29167064000546,,,,,,,,,
0,126.8499984741211,-0.7638874798371901,-1.6122007534398362,-1.2738204709935923,0.263329460699888,0.1977156050505886,0.4962693476632558,0.4329271118208175,-1.072880022031252,1.2294318281881258,,,,,,,,,
0,126.33000183105467,-0.3658371218927366,-1.0796057878695642,-1.9977130075416905,0.0680941035497294,0.3212036108612422,0.7826445736871767,0.5037029711830027,-1.109855072586353,1.4292775472541386,,,,,,,,,
0,126.36000061035156,-0.901872324834668,-1.3264311933139403,-1.5129159169361508,0.0430621457560886,0.519997395589259,0.8149704189200543,0.6848430797003296,-0.9615610561244662,1.3333583793839765,,,,,,,,,
0,126.76000213623048,-1.066522004053163,-1.661653760385158,-1.370974693502704,0.2907155506634978,0.8819832031877649,0.8498636913625659,0.8928558758615681,-1.112885084779383,1.2533567337790403,,,,,,,,,
1,124.51000213623048,-0.045191316466221,-0.7353261921337594,-1.4459208071343082,0.5869287368824575,1.2987394441091866,1.145368874270656,-0.2565631063665035,-1.5051893192572874,1.185936266131812,,,,,,,,,
0,128.44000244140625,-0.6252074953901748,-1.2444027404910307,-0.6141378139862186,0.6338834675428372,-0.8010744227895983,1.0757341670911662,-1.2645865797528346,-1.5821295771076815,1.1252422658026733,,,,,,,,,
-1,128.67999267578125,-0.4899136787344925,-1.8342729444659929,-0.97313295926148,0.0412796960728112,-0.74416384453932,1.3005845873197035,-0.54246699192136,-1.212816299139402,1.2965789533952403,,,,,,,,,
1,125.97000122070312,1.2723948660140298,-1.4250373371273362,-1.1597639619757567,0.3480880228975885,-0.6932950866606029,1.1803644188085087,-0.6671318659590804,-1.1447892182212125,1.2351124320185891,,,,,,,,,
0,128.5399932861328,-0.1253458724552778,-0.120719552617709,-1.078809089430772,0.3228274694916754,-0.8567665748421706,1.0809598791900208,-0.5730022060125673,-1.1942520849633185,1.1868903272496747,,,,,,,,,
0,126.2699966430664,0.3812153844050919,-0.9015016497945996,-1.0705557907232617,-0.6647549341606879,-0.9936958797301534,0.5111181423621648,-0.4801324327796622,-1.0528042973394836,1.123995564382865,,,,,,,,,
0,126.63999938964844,0.2943859627228112,-0.2485623848034945,-1.2462827315994618,-0.7070469082943488,-1.011551384203533,0.4749773742633819,-0.6319978042559153,-1.3492639468340717,1.4256053789834038,,,,,,,,,
0,128.80999755859375,-0.2198262815965709,-1.6811400195607016,-1.2351832495205004,-0.826793597437878,-1.0245673449829042,0.4385242139013002,-0.8762600398292677,-1.531265526602582,1.3438393916602784,,,,,,,,,
0,129.41000366210938,-0.5319189667090406,-2.236356387016569,-1.159461471981989,-1.028994262860401,-1.123682103204998,-0.1401286549327281,-0.6581579208167236,-1.5138880537378818,1.2781904166757818,,,,,,,,,
0,128.75999450683594,-0.2352950464817457,-1.1148012575985131,-0.9628994093304464,-1.1500710137962034,-1.1359720408062022,0.1010097662525787,-0.0681166526486285,-1.5736285093062514,1.2271173550442072,,,,,,,,,
