Dates,Prices_training,trained_values,Data_training_VIX,Data_training_MOVE,Data_training_EURUSD,Data_training_HY,Data_training_BBB,Data_training_AA,Data_training_Liquidity,Data_training_Spread,Data_training_FEDFUNDS,Prices_prediction,Predicted_values,Data_prediction_VIX,Data_prediction_MOVE,Data_prediction_EURUSD,Data_prediction_HY,Data_prediction_BBB,Data_prediction_AA,Data_prediction_Liquidity,Data_prediction_Spread,Data_prediction_FEDFUNDS,Combined Prices
2005-10-22,119.80000305175781,4.0,0.5625939587709122,0.46587667844549135,0.1416878684930103,-0.12012794050719022,-0.43672360776123315,-0.38680540445785455,0.9400057638948184,-0.8198616967799529,1.199553063720681,,,,,,,,,,,,119.80000305175781
2005-10-29,122.11000061035156,4.0,0.06656092558351528,-0.3082919824794118,0.5340348095428439,-0.14671392521816273,-0.2842584425199276,-0.07758495228933288,0.9919735778195162,-0.7481277978785349,1.1323796582332468,,,,,,,,,,,,122.11000061035156
2005-11-05,123.76000213623047,4.0,-0.6124858958687199,0.476945497721657,-0.006889572089438787,-0.396720830152585,-0.22380856466281432,0.2308498283677673,0.9458049290479386,-0.6854829902220022,1.4614767454425004,,,,,,,,,,,,123.76000213623047
2005-11-12,125.12999725341797,4.0,-0.8193646455918617,-0.25147098054643097,-0.7233278066118263,-0.17928706587920035,-0.09894806861191678,0.5426239769413516,0.8686126479831172,-1.0685876387528457,1.3680409024267457,,,,,,,,,,,,125.12999725341797
2005-11-19,127.12999725341797,4.0,-0.8896785140129734,-1.214352352024856,-1.4301034908354326,0.14712331676014787,0.1605875024259156,0.5128937910877988,0.2771252954510668,-1.1101187797002368,1.29167064000546,,,,,,,,,,,,127.12999725341797
2005-11-26,126.8499984741211,4.0,-0.7638874798371901,-1.6122007534398362,-1.2738204709935925,0.26332946069988805,0.1977156050505886,0.4962693476632558,0.4329271118208175,-1.072880022031252,1.2294318281881258,,,,,,,,,,,,126.8499984741211
2005-12-03,126.33000183105469,4.0,-0.3658371218927366,-1.0796057878695642,-1.9977130075416902,0.0680941035497294,0.3212036108612422,0.7826445736871767,0.5037029711830027,-1.109855072586353,1.4292775472541386,,,,,,,,,,,,126.33000183105469
2005-12-10,126.36000061035156,4.0,-0.901872324834668,-1.3264311933139403,-1.5129159169361508,0.04306214575608865,0.519997395589259,0.8149704189200543,0.6848430797003296,-0.9615610561244662,1.3333583793839765,,,,,,,,,,,,126.36000061035156
2005-12-17,126.76000213623047,4.0,-1.066522004053163,-1.661653760385158,-1.370974693502704,0.29071555066349786,0.8819832031877649,0.8498636913625659,0.8928558758615681,-1.112885084779383,1.2533567337790403,,,,,,,,,,,,126.76000213623047
2005-12-24,124.51000213623047,4.0,-0.045191316466221,-0.7353261921337594,-1.4459208071343082,0.5869287368824575,1.2987394441091866,1.145368874270656,-0.25656310636650353,-1.5051893192572874,1.185936266131812,,,,,,,,,,,,124.51000213623047
2005-12-31,128.44000244140625,3.0,-0.6252074953901748,-1.2444027404910307,-0.6141378139862186,0.6338834675428372,-0.8010744227895983,1.0757341670911662,-1.2645865797528346,-1.5821295771076815,1.1252422658026733,,,,,,,,,,,,128.44000244140625
2006-01-07,128.67999267578125,3.0,-0.4899136787344925,-1.8342729444659926,-0.9731329592614801,0.04127969607281125,-0.74416384453932,1.3005845873197037,-0.54246699192136,-1.212816299139402,1.2965789533952405,,,,,,,,,,,,128.67999267578125
2006-01-14,125.97000122070312,3.0,1.2723948660140298,-1.4250373371273362,-1.1597639619757567,0.34808802289758856,-0.6932950866606029,1.1803644188085087,-0.6671318659590804,-1.1447892182212125,1.2351124320185891,,,,,,,,,,,,125.97000122070312
2006-01-21,128.5399932861328,3.0,-0.1253458724552778,-0.12071955261770909,-1.078809089430772,0.3228274694916754,-0.8567665748421706,1.0809598791900208,-0.5730022060125673,-1.1942520849633183,1.1868903272496747,,,,,,,,,,,,128.5399932861328
2006-01-28,126.2699966430664,3.0,0.38121538440509195,-0.9015016497945997,-1.0705557907232615,-0.6647549341606879,-0.9936958797301534,0.5111181423621648,-0.4801324327796622,-1.0528042973394836,1.123995564382865,,,,,,,,,,,,126.2699966430664
2006-02-04,126.63999938964844,3.0,0.29438596272281126,-0.2485623848034945,-1.2462827315994618,-0.7070469082943488,-1.011551384203533,0.4749773742633819,-0.6319978042559153,-1.3492639468340715,1.4256053789834038,,,,,,,,,,,,126.63999938964844
2006-02-11,128.80999755859375,3.0,-0.21982628159657092,-1.6811400195607016,-1.2351832495205004,-0.826793597437878,-1.0245673449829042,0.43852421390130025,-0.8762600398292677,-1.5312655266025819,1.3438393916602784,,,,,,,,,,,,128.80999755859375
2006-02-18,129.41000366210938,3.0,-0.5319189667090406,-2.2363563870165692,-1.1594614719819887,-1.028994262860401,-1.123682103204998,-0.14012865493272816,-0.6581579208167236,-1.5138880537378818,1.2781904166757818,,,,,,,,,,,,129.41000366210938
2006-02-25,128.75999450683594,3.0,-0.23529504648174573,-1.1148012575985133,-0.9628994093304463,-1.1500710137962034,-1.1359720408062022,0.10100976625257871,-0.06811665264862855,-1.5736285093062514,1.2271173550442072,,,,,,,,,,,,128.75999450683594
2006-03-04,128.58999633789062,4.0,-0.2803926496931767,-1.0920056099696478,-0.8713346224440525,-1.1002174815705856,-0.9754629173016918,-0.26972209974582523,0.4533643131192307,-1.048037796227223,1.3394505556435803,,,,,,,,,,,,128.58999633789062
